PS_BI,

noun1,noun2,normed_freq
selection,suffices,0.07
pleistocene,africa,0.07
intelligent,force,0.07
mind's,evolution,0.07
self,confidence,0.07
paralyzing,illness,0.07
daniel,defoe,0.07
answers,thanks,0.07
drug,treatments,0.07
alexander,fleming,0.07
sulphonamide,prototype,0.07
war,science,0.07
antituberculosis,drugs,0.07
drugs,streptomycin,0.07
acid,pas,0.07
living,cells,0.07
treatments,idoxyuridine,0.07
anti,dna,0.07
dna,metabolite,0.07
influenza,methisazone,0.07
domagk's,thiosemicarbazones,0.07
president,richard,0.07
richard,nixon,0.07
cancer,president,0.07
december,dr,0.07
surgeon,general,0.07
health,officials,0.07
state,action,0.07
disease,control,0.07
control,year,0.07
typhoid,polio,0.07
